,SYMBOL,Sector,NSE CODE
1,AFFLE:NS,Advertising,"NSE:AFFLE,"
2,BCG:NS,Advertising,"NSE:BCG,"
3,SIGNPOST:NS,Advertising,"NSE:SIGNPOST,"
4,VERTOZ:NS,Advertising,"NSE:VERTOZ,"
5,ODIGMA:NS,Advertising,"NSE:ODIGMA,"
6,TOUCHWOOD:NS,Advertising,"NSE:TOUCHWOOD,"
7,HAL:NS,Aerospace & DefenseG1,"NSE:HAL,"
8,BEL:NS,Aerospace & DefenseG1,"NSE:BEL,"
9,BDL:NS,Aerospace & DefenseG1,"NSE:BDL,"
10,ZENTEC:NS,Aerospace & DefenseG1,"NSE:ZENTEC,"
11,DATAPATTNS:NS,Aerospace & DefenseG1,"NSE:DATAPATTNS,"
12,PARAS:NS,Aerospace & DefenseG1,"NSE:PARAS,"
13,UNIMECH:NS,Aerospace & DefenseG1,"NSE:UNIMECH,"
14,APOLLO:NS,Aerospace & DefenseG2,"NSE:APOLLO,"
15,DCXINDIA:NS,Aerospace & DefenseG2,"NSE:DCXINDIA,"
16,NIBE:NS,Aerospace & DefenseG2,"NSE:NIBE,"
17,IDEAFORGE:NS,Aerospace & DefenseG2,"NSE:IDEAFORGE,"
18,ROSSTECH:NS,Aerospace & DefenseG2,"NSE:ROSSTECH,"
19,BLAL:NS,Aerospace & DefenseG2,"NSE:BLAL,"
20,ROSSELLIND:NS,Aerospace & DefenseG2,"NSE:ROSSELLIND,"
21,PIIND:NS,Agro chemicalsG1,"NSE:PIIND,"
22,UPL:NS,Agro chemicalsG1,"NSE:UPL,"
23,BAYERCROP:NS,Agro chemicalsG1,"NSE:BAYERCROP,"
24,SUMICHEM:NS,Agro chemicalsG1,"NSE:SUMICHEM,"
25,PARADEEP:NS,Agro chemicalsG1,"NSE:PARADEEP,"
26,ACI:NS,Agro chemicalsG1,"NSE:ACI,"
27,DHANUKA:NS,Agro chemicalsG1,"NSE:DHANUKA,"
28,SHARDACROP:NS,Agro chemicalsG2,"NSE:SHARDACROP,"
29,RALLIS:NS,Agro chemicalsG2,"NSE:RALLIS,"
30,BHAGCHEM:NS,Agro chemicalsG2,"NSE:BHAGCHEM,"
31,BHARATRAS:NS,Agro chemicalsG2,"NSE:BHARATRAS,"
32,NACLIND:NS,Agro chemicalsG2,"NSE:NACLIND,"
33,MBAPL:NS,Agro chemicalsG2,"NSE:MBAPL,"
34,INSECTICID:NS,Agro chemicalsG2,"NSE:INSECTICID,"
35,IPL:NS,Agro chemicalsG3,"NSE:IPL,"
36,MOL:NS,Agro chemicalsG3,"NSE:MOL,"
37,SPIC:NS,Agro chemicalsG3,"NSE:SPIC,"
38,EXCELINDUS:NS,Agro chemicalsG3,"NSE:EXCELINDUS,"
39,ASTEC:NS,Agro chemicalsG3,"NSE:ASTEC,"
40,HERANBA:NS,Agro chemicalsG3,"NSE:HERANBA,"
41,UNIENTER:NS,Agro chemicalsG3,"NSE:UNIENTER,"
42,IGCL:NS,Agro chemicalsG4,"NSE:IGCL,"
